	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p	19_n	19_l	19_p
74	exoY	-2.7607417	1.3781866552801507e-90	purF	-1.7706975	6.206243599418522e-11	pslG	-3.5199282	7.204109955535465e-266	pilA	-0.85295916	8.536779670820038e-106	nirS	-3.866046	0.0	fnr_2	-0.2756659	0.06826003945407547	vfr	-1.830465	2.091850730951579e-202	pqsC	-0.96547097	1.8772030260729403e-23	ccoN2	-5.8737917	0.0	sodB	-1.7157369	2.2326791108309107e-224	vfr	-1.4620864	5.162534166087697e-84	pcrD	-4.3740315	1.6928918612527335e-84	sodB	-0.8662663	2.767495252316861e-44	kgtP	-24.559015	2.016033418784411e-215	pilA	-2.1811707	4.036128828388073e-190	pqsH	-0.4875558	0.0018611259574152531	sodM	-24.01367	3.627564406510832e-149	htpX	-1.8966439	3.8536830783251206e-25	rho	-3.1525166	3.8444517054900235e-40	lon	-1.4534851	0.006008633109272375
75	ccoN2	-1.8553827	2.4608656868067237e-115	lasA	-0.58002245	5.903417603497763e-17	napA	-24.847496	0.0	pcrD	-4.1529922	6.967434273124033e-117	ftsH	-6.2806025	0.0	pelA	-1.4087329	0.03647469467307316	truB	-2.6649528	8.406717134294255e-208	rhlR	-2.0884483	8.37066879973341e-47	rpoN	-2.7721362	1.18065e-318	exoT	-6.2688036	1.196365345623915e-285	htpX	-1.9319202	6.686350603742823e-87	lysC	-1.9281498	2.6388442550993516e-81	lasI	-2.6383536	1.1543449879676668e-47	lysC	-2.9393706	5.1068420062844274e-189	recA	-2.86403	7.928289603216852e-203	uspM	-0.94729596	2.186363219264187e-05	pilA	-2.1834407	8.693946090457502e-106	lasI	-2.679671	7.502857629770743e-26	nosZ	-4.2513576	7.21569354120522e-44	ccoN2	-1.2252373	0.003784282121230611
76	narG	-3.7579558	6.249628878402664e-120	rpoN	-0.47921208	3.939479000213085e-25	mvfR	-3.6292343	0.0	sodM	-5.6921697	3.124527159428541e-127	truB	-5.2088223	0.0	lasR	-0.11453043	0.0258992982207731	pchF	-5.0569015	9.266290977129824e-228	phzM	-2.4218001	3.9829301003583716e-63	mvfR	-5.225443	0.0	wspR	-4.8765526	2.6374280228534374e-286	recA	-1.7309135	7.490044109420857e-103	mexB	-2.2055023	1.632854396176249e-82	phzM	-2.867359	1.0257163334350096e-57	pslG	-4.68667	1.9168032669062394e-220	OxyR	-4.9138985	2.4844958808966004e-235	phzM	-0.97507983	1.213788746714613e-05	truB	-3.8603723	4.9042680192929195e-119	nirS	-1.7172145	5.537734108681332e-27	purF	-22.26767	9.882982021217414e-64	uspM	-1.4799956	0.003540002086669249
77	uspM	-2.4181178	4.75805767483339e-128	rpoD	-0.5347028	2.9431380257416213e-34	ccoN2	-4.7726192	0.0	ftsH	-1.842039	1.9643914610924743e-124	sigX	-3.777276	0.0	sigX	-0.16701697	0.01936579887294453	rho	-2.4941216	1.7435004435932993e-208	ccoN2	-2.113823	1.1986816010288989e-64	clpX	-2.0125833	5.120704403435429e-308	nosZ	-5.4844275	3.714311232998987e-302	rpoH	-1.5289736	1.4035618793790153e-109	clpX	-1.1788741	1.8156274801758292e-83	lasR	-1.2004148	6.393232939674473e-57	rpoD	-2.549291	2.2799344687629687e-191	rpoH	-2.4624739	7.663505153315773e-199	ccoN2	-0.9006912	2.2234737310183472e-06	cdrA	-23.960867	4.0772848208991925e-164	clpX	-1.1904432	1.022189776827826e-30	suhB	-3.2039077	2.6496838031051468e-45	phzE1	-0.78164434	0.0014151790770087235
78	rhlR	-2.4587417	8.99872441876019e-130	sodM	-2.2862482	1.9909866433840488e-38	sodB	-1.3999654	0.0	recA	-1.3864905	3.9193822582626307e-128	fliC	-2.9153652	0.0	sodM	-0.5744781	0.011709971241290402	ccoN2	-3.9932568	5.20275982327222e-249	narG	-3.611497	3.337820306311272e-71	fliC	-2.587793	0.0	rne	-2.82315	6.388382753291068e-259	clpX	-1.2636011	4.1821038423184865e-115	recA	-2.208964	6.809765589046002e-88	hcnC	-1.6007153	5.439966192704102e-74	rpoN	-2.6664817	2.902283849078129e-196	pscC	-6.1847525	4.859860951349677e-270	narG	-1.5390006	2.465256079667447e-07	pscC	-5.3146453	2.0053111347595206e-146	rpoN	-1.7474835	4.2344590051639145e-31	pyrG	-2.2168107	4.225007867054903e-45	mvfR	-1.3345627	0.0008824495302785391
79	phzM	-3.1866326	6.207332357104817e-184	lon	-1.4274706	5.2621760265144135e-39	nosZ	-6.845988	0.0	nosZ	-2.6353133	1.5691269211460943e-138	aceA	-5.6098356	0.0	phzH	-2.4756947	0.00013119573992781357	nirS	-2.414804	1.476099145579542e-246	uspA	-1.4937282	3.245509598082484e-92	nosZ	-25.707193	0.0	pscC	-6.7688994	0.0	ftsH	-2.8005605	6.597285296731131e-136	lasI	-3.3701863	6.728646535787876e-98	impC	-3.3177593	4.320886272196186e-79	pchF	-6.192545	1.5586816075197728e-247	rne	-3.0524373	2.0518732418287544e-221	pqsC	-0.9753316	2.934573734452687e-08	norB	-4.195835	8.547682954135189e-129	recA	-1.7869483	3.584158933442037e-33	rpoD	-2.911846	7.3946786956206e-49	arcA	-0.85354483	0.00032237014231687925
80	napA	-4.4058857	2.5135710437113067e-241	sucC	-0.43024787	2.6227148159136858e-39	lasR	-1.8949075	0.0	lon	-3.2431798	1.4711341305327623e-143	ccoN1	-5.105014	0.0	pscC	-0.57522887	2.2938505402777764e-05	rne	-2.2509003	1.5003853561580647e-242	katA	-2.0201807	1.626827860857567e-95	htpX	-3.761591	0.0	lysC	-3.0773268	1.6391376349883682e-270	rpoD	-1.8602624	1.0825452289801896e-132	gltB	-2.273907	5.49170794841711e-97	ccoN2	-2.951664	2.1111238639332658e-81	truB	-3.4257834	2.9385915817954517e-205	relA	-5.4670124	1.879878774329812e-295	rhlR	-1.8333288	1.1965006990426805e-17	pcrD	-24.322292	6.4747688894978005e-199	mexF	-21.597149	3.135453877123064e-39	atpA	-1.9207338	3.7720375423628187e-50	pqsH	-1.2708305	0.00011613873735977292
81	uspA	-1.649734	6.715721852930191e-271	pcrD	-2.1307895	4.3745508697609e-44	katA	-4.1711164	0.0	truB	-1.9220494	4.745787514496797e-164	htpX	-5.3350954	0.0	truB	-0.47038117	4.68566006412329e-09	htpX	-2.6155422	6.719254896170482e-262	impC	-3.123463	1.0833119155557568e-97	nirS	-3.593885	0.0	pilA	-2.0961068	2.889388042517685e-261	nirS	-2.4380026	1.426967181761244e-146	ccoN2	-3.499773	1.457977009558929e-106	ccoN4	-2.769578	3.805169196122029e-82	recA	-2.8279464	2.4859308440281978e-206	ftsH	-4.3249207	4.032291286625919e-278	impC	-2.6012437	2.4378644068840412e-31	rpoN	-3.2884364	2.3488039635579847e-139	lysC	-2.0910418	1.9205858356339494e-35	pvdF	-23.251808	1.4108968973770038e-80	pchF	-1.6998893	9.958470484805565e-05
82	impC	-4.229799	1.2522952596904658e-287	kgtP	-2.2841644	1.7797645066161643e-50	pqsC	-4.0535955	0.0	lysC	-1.7301226	1.5000030053975849e-179	rho	-5.2283025	0.0	pchF	-1.0171196	6.915117923125499e-12	recA	-2.324568	1.7400463498647223e-264	uspM	-3.1061866	1.3524699378626756e-108	relA	-7.1708574	0.0	rpoN	-2.8533037	1.057479243875e-312	pilA	-1.722853	2.3542769769138536e-164	pilA	-1.4397662	2.560626814366757e-102	katA	-2.65857	2.4303950506464055e-88	lon	-6.2707996	2.2748347590590346e-270	lysC	-3.4715128	1.1323176711132028e-250	ccoN4	-2.1023788	2.9341728407433265e-36	exoY	-24.323418	1.799037683173908e-209	vgrG	-21.952627	8.172333041041617e-51	TriC	-23.271677	4.962458117710853e-117	napA	-2.159626	1.770695156944436e-05
83	nosZ	-4.9456534	0.0	pyrG	-0.58075035	1.7067789238261544e-53	pqsH	-4.243321	0.0	mexB	-1.9108984	3.9049607781938856e-188	suhB	-4.732386	0.0	phzM	-1.1984986	4.711102209276888e-14	sodB	-1.4945152	5.894229398259838e-258	napA	-3.6311302	2.882198067371777e-109	anr	-4.030821	0.0	nirS	-3.370139	0.0	mexB	-2.6980076	2.960325985716015e-174	ilvI	-4.585814	3.777795991863823e-115	lasA	-2.6030962	5.1941603845111464e-92	rne	-2.960195	4.37490704960905e-213	rpoN	-3.149228	2.6355711583797196e-267	uspA	-1.5263649	1.8069272963510193e-38	kgtP	-24.53827	5.837382157140112e-215	rpoD	-1.9151164	6.532075988020014e-42	gpD	-24.083113	6.241789721676786e-124	hcnC	-0.9822944	6.636608659827536e-06
84	katA	-2.9857972	0.0	lysC	-0.8409242	5.798182319604423e-57	ccoN4	-5.4745135	0.0	rpoN	-1.5581434	2.284344092054696e-198	mexB	-7.011125	0.0	impC	-1.3141147	1.2384501627981292e-22	nosZ	-5.0659	5.303719576417317e-309	norB	-3.2810972	1.292731740832978e-236	pilA	-2.6127234	0.0	truB	-4.1933026	0.0	ccoN1	-2.9774044	3.951732974398837e-195	rpoN	-2.1499393	5.129129000813532e-113	pqsC	-2.7483287	1.3819564292335466e-93	htpX	-3.3531082	2.717783548641547e-236	exoT	-25.545382	0.0	napA	-2.9699419	2.0060283903492864e-40	mexB	-3.855348	2.61398548817801e-152	amrB	-22.32799	1.602212704373152e-51	sodM	-24.000381	7.902601592655067e-149	pcrD	-2.7627702	4.049810925824972e-07
85	ccoN4	-4.2246513	0.0	pchF	-2.13063	1.4088975345314548e-67	norB	-4.660493	0.0	ccoN1	-2.170196	6.856346015455813e-247	spuD	-4.238191	0.0	napA	-1.6904815	6.796440579208408e-28	rpoD	-2.219203	3.071113705157674e-268	ccoN4	-4.332592	0.0	lysC	-3.9175203	0.0	relA	-6.0513887	0.0	lon	-5.0847473	1.7298931910519357e-222	suhB	-2.4986882	8.564067024006434e-125	norB	-2.9804776	1.6963488348258631e-121	rho	-3.7019863	1.1450249157806062e-257	rho	-4.125566	9.18597355490595e-310	arcA	-1.5911063	2.976630581278834e-42	nosZ	-5.6164727	1.0895190364340947e-192	algU	-22.098259	3.310735407854589e-54	cdrA	-23.947582	9.004770141748282e-164	norB	-1.7879486	6.306501706628694e-08
86	arcA	-2.1604543	0.0	ccoN1	-1.0506989	3.6789628405963605e-72	uspA	-3.8075871	0.0	pscC	-4.634446	2.079667803382973e-270	anr	-5.8714566	0.0	pcrD	-2.3498282	2.9502800794893786e-38	pilA	-1.757113	3.191274318739202e-267	nosZ	-6.5043235	0.0	ccoN1	-4.26651	0.0	ccoN1	-3.7290316	0.0	sodB	-1.5737239	9.51357052056963e-188	rpoD	-2.2560055	6.779886509683102e-154	uspA	-2.2254977	1.5862113138921393e-119	pilA	-2.3393376	4.0884526540385866e-241	truB	-4.4226475	0.0	norB	-2.5539362	4.311135625971178e-65	ilvI	-24.533728	1.178668149894878e-280	atpA	-1.4732779	4.3481706716409896e-45	sucC	-2.7831173	1.033903481685483e-83	rbsA	-2.854478	5.8396870553990195e-08
87	norB	-4.311401	0.0	pscC	-1.9786792	5.360388187364313e-81	lasA	-8.157583	0.0	rho	-2.3113286	4.9048233993356985e-264	pyrG	-3.3125205	0.0	kgtP	-2.462553	3.87300796590264e-44	ccoN1	-4.005851	0.0	arcA	-2.7964768	0.0	suhB	-4.5089083	0.0	rho	-4.001342	0.0	rne	-2.591971	2.0325528029832656e-206	pyrG	-2.2588792	5.579601641895878e-192	uspM	-4.68167	2.7413423506015376e-164	pscC	-25.38359	0.0	suhB	-4.2669177	0.0	rpoS	-1.8268945	4.837708524142823e-121	pyrG	-3.2373483	2.4628086937166435e-180	pyrG	-1.857721	1.7936908608934744e-48	pcrD	-24.308977	1.241178345491068e-198	relA	-2.0785477	1.6421199441314078e-08
88	hcnC	-2.4559162	0.0	rho	-1.2204329	2.1450042414364495e-95	hcnC	-3.5563653	0.0	rpoD	-1.7976532	9.249310930996418e-289	rpoD	-4.08563	0.0	cdrA	-4.5969515	1.9798730959166805e-89	rpoN	-3.0154867	0.0	nirS	-3.4746969	0.0	pyrG	-3.248253	0.0	suhB	-3.84416	0.0	rpoN	-2.6483803	1.1898891099246917e-242	nirS	-3.4835858	1.5276473426969533e-203	rpoS	-2.0544221	9.593776786648747e-188	pyrG	-2.856473	1.5011292893486285e-307	rpoD	-3.6271224	0.0	hcnC	-2.6959743	1.3200943879636896e-141	pnp	-3.4636574	7.467174617994287e-186	rho	-2.84014	8.419267906364145e-58	exoY	-24.310102	2.6467376879133005e-209	spoT	-20.20658	3.594935296378988e-15
89	nirS	-3.6604884	0.0	truB	-1.4470578	2.1431304771877758e-113	nirS	-5.6560564	0.0	sucC	-1.567346	0.0	fadB	-6.1920986	0.0	nosZ	-2.5093455	1.0134226523235881e-92	pyrG	-2.8347409	0.0	hcnC	-3.3380725	0.0	fadB	-4.433039	0.0	rpoD	-3.2590687	0.0	pyrG	-2.6777346	7.5552405e-317	rne	-2.8329365	8.286595303079321e-200	phzE1	-2.8111725	3.983689422819116e-197	atpA	-2.3507054	0.0	ccoN1	-4.8266454	0.0	nosZ	-5.2393785	4.2705518407569716e-218	suhB	-4.050537	2.8558691904193007e-203	sucC	-1.8039705	7.962880631512496e-59	kgtP	-24.524933	9.226161424300043e-215	phzH	-20.46808	4.415706257404544e-19
90	lasA	-7.683863	0.0	pnp	-1.0078723	1.878439084030347e-129	rhlA	-2.9280972	0.0	pyrG	-1.9689947	0.0	pnp	-4.7342687	0.0	norB	-3.021224	7.92986202028572e-238	suhB	-4.0448766	0.0	lasA	-6.7560062	0.0	rne	-4.56398	0.0	pyrG	-3.2390478	0.0	suhB	-3.6466086	0.0	pnp	-2.995035	1.325278082392525e-214	arcA	-2.8544953	1.8552099775994653e-198	ccoN1	-4.2843924	0.0	atpA	-2.910956	0.0	nirS	-3.4378567	1.730307314759304e-223	rpoD	-3.8120797	1.7177017480862028e-201	nosZ	-4.086758	1.6898127670595466e-67	pnp	-3.7602034	1.5297782717659716e-100	nirS	-2.2007508	1.485528356592123e-21
91	phzE1	-6.045892	0.0	cdrA	-5.3745613	2.280364831672848e-136	arcA	-5.0312347	0.0	atpA	-1.5360068	0.0	rpoH	-4.8067346	0.0	phzE1	-2.230287	8.164688687374986e-257	pnp	-3.435499	0.0	rpoS	-2.6876605	0.0	pnp	-3.9649644	0.0	atpA	-2.712079	0.0	pnp	-3.5139663	0.0	atpA	-2.2601225	4.442759857429332e-248	nosZ	-5.0838065	3.021639509252945e-241	suhB	-4.2459106	0.0	pyrG	-3.7534902	0.0	rhlA	-3.5995228	0.0	atpA	-2.8677058	7.992088288437223e-201	pnp	-2.4530609	6.429560554796549e-70	rpoA	-3.1340094	2.585840455800215e-96	algU	-22.090843	5.970013876324809e-54
92	rpoS	-2.7916372	0.0	atpA	-0.8429793	6.6741344563650806e-164	phzE1	-6.4736814	0.0	pnp	-2.2711499	0.0	atpA	-3.1827052	0.0	aprA	-2.4668424	0.0	atpA	-2.5030713	0.0	phzE1	-5.6018834	0.0	atpA	-3.1229918	0.0	pnp	-4.072244	0.0	atpA	-2.6395462	0.0	sodB	-2.3564842	2.2176912142822147e-267	napA	-24.745197	0.0	pnp	-3.510185	0.0	pnp	-3.9211407	0.0	phzE1	-4.6977386	0.0	fadB	-4.1538877	1.1286184010723966e-223	lon	-4.7695336	3.7585743589483636e-82	cysA	-24.525806	1.5963795035816857e-246	pvdF	-23.250996	5.6460443643007614e-80
93	aprA	-6.7122984	0.0	rpoA	-1.1539986	2.83221403102754e-301	aprA	-8.766003	0.0	suhB	-3.6727633	0.0	sucC	-3.7752995	0.0	rhlA	-2.2019181	0.0	sucC	-2.8676217	0.0	lasB	-5.4899836	0.0	sucC	-3.6655133	0.0	sucC	-3.191732	0.0	sucC	-2.977162	0.0	sucC	-2.7966337	0.0	lasB	-2.926717	1.2405856133951565e-269	sucC	-2.764547	0.0	sucC	-3.1473832	0.0	lasA	-7.3331556	0.0	sucC	-3.3906434	3.3293984979490924e-246	suhB	-3.3337862	6.829547969097668e-78	rpsC	-3.6115444	1.0969760043444452e-99	cdrA	-23.946766	2.1049911009282902e-163
94	lasB	-6.4596357	0.0	suhB	-2.5964265	0.0	rpoS	-4.1028624	0.0	rpoA	-2.6261446	0.0	rpsC	-4.6407638	0.0	lasB	-2.5768743	0.0	rpsC	-3.5247462	0.0	aprA	-5.888995	0.0	rpsC	-4.164247	0.0	rpsC	-4.0506063	0.0	rpsC	-3.2183926	0.0	rpoA	-3.1609986	0.0	nirS	-4.1158905	1.423e-321	rpsC	-3.681444	0.0	rpsC	-3.6702085	0.0	lasB	-5.1844335	0.0	rpsC	-4.3751497	0.0	rpoA	-2.62065	2.206012751212553e-110	pstS	-25.151627	0.0	narG	-24.520987	1.4116768398897978e-189
95	rhlA	-4.588084	0.0	rpsC	-1.6434544	0.0	lasB	-7.456853	0.0	rpsC	-2.9016476	0.0	rpoA	-4.439675	0.0	lasA	-5.2100787	0.0	rpoA	-3.7499979	0.0	rhlA	-4.625488	0.0	rpoA	-4.3198075	0.0	rpoA	-3.9814765	0.0	rpoA	-3.620551	0.0	rpsC	-3.2121372	0.0	aprA	-3.2079	3.911092641938208e-299	rpoA	-3.6974602	0.0	rpoA	-3.7922945	0.0	aprA	-7.0186954	0.0	rpoA	-4.13547	0.0	rpsC	-3.0912485	4.763806118687952e-136	lon	-25.332191	0.0	nosZ	-25.65003	0.0
