	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p	19_n	19_l	19_p
54	gpD	0.0073352535	0.9649609474324615	algU	0.34099334	0.2406543113152731	sodM	-6.778174	5.338828219859976e-139	clpX	-0.43784958	4.149118994861346e-38	dnr	-25.770376	0.0	vgrG	1.8941686	2.6925982770872425e-06	ptsP	-2.2432535	3.7546348027757956e-85	algD	0.8322598	0.04492441591880229	dnaA	-2.3310964	2.7370612866618338e-173	pstS	-3.7580903	6.356400914992843e-126	pstS	-2.7701752	4.337002385267116e-47	spuD	-0.80309004	5.942737992837313e-18	sodM	-1.7164577	6.500210069069768e-09	cysA	-4.4623036	7.118832817459251e-99	pstS	-4.399887	1.2276476830178279e-132	pchF	1.197189	1.3852235932664027e-06	lysC	-2.3510299	1.960835986226584e-59	spuD	-0.6983298	1.4240932332414162e-05	ftsH	-2.3620865	4.153344635517373e-18	htpX	-0.53273547	0.08352219057515065
55	spoT	-0.031913336	0.9561228365500875	ilvI	0.14729454	0.25743807940857855	anr	-1.4838256	9.63471321779093e-136	pslG	-1.3271888	1.365262887635804e-38	uspM	-8.259104	0.0	gpD	1.0983151	6.862825304338814e-05	pstS	-2.8466454	3.958710941960595e-94	gltB	0.1392641	0.055525140761778786	pcrD	-24.36444	1.623003807051073e-199	anr	-2.341474	1.1644793215410121e-138	anr	-1.4533311	4.272360507149955e-50	exoT	-1.7453475	1.927091666316093e-19	lon	-1.0642047	6.389860531885533e-09	mvfR	-2.8236187	4.858813449670487e-98	fnr_2	-4.695461	2.381719268553811e-137	rhlI	1.0198541	9.849121370650902e-06	uspM	-4.042755	2.758978344284853e-63	sigX	-0.76961917	2.3099645805324417e-06	fnr_2	-3.4607947	2.4926730318025575e-18	rho	-0.6105825	0.0752982801344904
56	TriC	-0.10653749	0.5462492090608008	exoT	0.10096418	0.34255734573611246	narG	-5.2369795	1.1088136292268041e-148	mexF	-21.719784	9.716217325879864e-40	exoT	-25.636843	0.0	wspR	0.43321413	0.0004470359791535513	lasI	-2.6878223	7.685520232227528e-101	amrB	0.4987301	0.26121663563218656	pstS	-4.6870155	1.9228365983433372e-194	rpoH	-1.7015159	7.095520471334504e-148	pqsC	-1.653674	7.549744972219204e-52	htpX	-1.017673	1.0153010934023714e-19	vgrG	-2.9594057	3.5257283608512682e-09	exoY	-5.247782	9.115329948370231e-116	ilvI	-5.3552346	2.156256330093975e-143	pslG	0.834872	2.9523312481684603e-05	ccoN1	-2.605906	1.7935321347531482e-62	aceA	-1.0742358	1.1272704282772818e-06	rne	-1.8937376	1.8437094312335696e-19	sigX	-0.5248122	0.07376215984859648
57	sodM	-0.15887265	0.30297107192573025	clpX	0.027087968	0.37161807575729344	htpX	-1.576401	2.561936573872417e-146	kgtP	-2.2665215	1.0942533958463143e-41	vfr	-2.0521147	0.0	rho	0.20438856	0.0059589873283307435	pqsC	-1.8619089	1.093354365520208e-103	pchF	0.07149061	0.6737872649028498	lon	-4.5452332	7.104678486257388e-199	ccoN2	-3.728445	2.4276365229419975e-160	gshB	-2.6496727	1.3794720311735893e-53	hcnC	-0.81089354	6.8151051283629e-21	cysA	-1.5462967	7.072939231810561e-11	lasI	-3.7852404	2.3999153202835855e-113	sigX	-2.4093962	2.65819723662246e-135	katB	3.2527936	0.00010735258464350646	ccoN4	-3.1900673	6.401176551512645e-64	pvdF	-2.6872585	7.92854633388576e-07	recA	-2.1169963	6.13891974537709e-20	exoY	-1.3884374	0.0676400716753889
58	pchF	-0.10925072	0.287195258341519	lasI	-0.035079803	0.7291106781180865	rne	-1.2794423	3.2676828384359086e-146	ilvI	-1.8795481	2.4614291645073442e-42	nosZ	-25.774157	0.0	exoT	0.33453342	0.020876792779177374	fliA	-2.126233	2.7556029093292576e-112	gpD	0.06263527	0.8192803248440396	exoY	-24.365564	3.1559218316335515e-210	sigX	-2.1405025	1.2770458130942626e-153	exoY	-3.446183	3.281647797775306e-54	ahpF	-3.1900322	5.514266945165517e-22	rbsA	-1.8086517	5.297958400610692e-11	nirS	-2.134802	1.5625314459268395e-107	cdrA	-23.978643	1.6308966042249987e-164	TriC	1.5646206	0.0005915896487250616	recA	-2.3391109	1.7132870079090727e-67	OxyR	-1.5235654	5.312033049010679e-07	wspR	-3.1674604	3.2825461318420396e-21	ccoN4	-0.79144454	0.058888788222870865
59	PA14_48930	-0.5024725	0.04203573304810228	sigX	-0.023641052	0.6769594853990694	dnr	-3.1577067	1.712749700186398e-157	ccoN2	-1.3256655	3.4962754182194645e-44	rhlI	-5.95683	0.0	algD	0.977537	0.02171936833608821	sodM	-6.0013566	4.256486428838883e-124	pslG	0.033024255	0.8239963053127582	kgtP	-24.580488	8.964947773951348e-216	ackA	-4.1587644	1.269082845028085e-168	TriC	-4.6084566	1.335556650998686e-56	fadB	-0.9646794	4.416748432310933e-23	pchF	-1.3826187	1.1274584491353018e-11	gpD	-24.117088	1.6589988587554284e-124	lasI	-4.4035673	5.905628721229e-157	pcrD	1.0570476	0.0016057230570500495	pstS	-4.1155252	3.905935971013858e-73	cdrA	-2.3813572	3.937949874615547e-08	truB	-2.4597018	2.0824061133724118e-22	sodM	-1.7873394	0.04107878793691333
60	fnr_2	-0.25403774	0.0070226693802616725	pelA	-0.50518197	0.32260464565231955	phzM	-3.3283339	1.345723733053069e-159	rne	-0.78470546	5.903000514402826e-45	OxyR	-5.6713924	0.0	algU	0.92754644	0.023187637336595186	lysC	-1.8531884	8.783231745696818e-139	phzH	0.08408872	0.9114398501751355	rhlR	-4.910789	8.56992936393626e-210	htpX	-2.3651624	5.06316476186571e-159	phzM	-2.627634	3.583277083415439e-60	norB	-1.3074266	1.7138534387873136e-23	pscC	-1.369564	1.0538162933575797e-14	dnaA	-2.371985	5.833597505858124e-124	htpX	-2.711586	1.3889960624324299e-142	vgrG	1.9439937	0.002422894315319156	rpoH	-1.9113073	1.498481948870721e-70	wspR	-1.6055211	1.7917598759271883e-08	OxyR	-3.2628794	5.93380889586555e-25	pstS	-1.1112611	0.033320242190895626
61	amrB	-0.8630836	0.0003917141573186441	pvdF	-0.2849588	0.23677900438556046	exoY	-5.7162967	9.968714392038898e-171	cdrA	-2.4778414	1.9912385802443853e-45	ptsP	-5.921245	0.0	pslG	0.20984922	0.10778238416269112	dnaA	-1.86884	1.5408804425177053e-140	mvfR	-0.012508288	0.9142691239334491	aceA	-2.8302562	6.260590162611467e-198	mvfR	-3.4871356	3.796109610315687e-186	dnaA	-1.5875859	1.9795059194110823e-59	arcA	-0.8849367	3.4517620120119635e-24	exoY	-1.8536755	3.3975469579305973e-15	sodM	-24.03434	2.0449061790943097e-149	ccoN2	-3.9446957	2.281515759234546e-160	PA14_48930	2.1184077	0.00394899275129225	vfr	-2.128421	7.562113487795418e-73	pchF	-1.9254177	1.5101251867627403e-08	pilA	-1.5950909	4.364606839642053e-26	truB	-0.6874455	0.027102727802627534
62	rhlI	-0.35197553	1.596789751098708e-05	ftsH	-0.09612479	0.19637098713335152	spuD	-1.411036	4.6067893880875924e-166	purF	-4.956971	1.5606153257811747e-46	relA	-6.2247367	0.0	amrB	0.5616348	0.1477487017604176	exoY	-5.31016	5.957222845165609e-152	dnr	-0.053389687	0.7546318343552488	pqsC	-2.970323	4.1188872656782366e-203	exoY	-24.360617	3.417631021068801e-210	truB	-1.832688	1.861515995750445e-62	katA	-1.5904583	1.2261887200662665e-30	rhlR	-1.6230826	1.2595148981036998e-16	rpoH	-1.7956004	3.9667893128302934e-127	pchF	-5.088438	1.8635135626897143e-178	pelA	2.8208249	0.005859253657539361	pslG	-3.7110953	7.414577484148454e-77	pstS	-1.9950504	4.5553827430059204e-09	clpX	-1.5092105	5.975839875338545e-27	gltB	-0.54541886	0.025180764359777896
63	phzH	-2.34934	5.001280648600759e-07	katB	-0.863492	0.0642340184977511	pcrD	-6.0860553	4.830055350074773e-176	vfr	-0.7052765	1.971863161886821e-46	lysC	-2.8509843	0.0	suhB	0.09948234	0.15859347583429087	kgtP	-5.861481	4.137192962681864e-160	vgrG	-0.2719488	0.5404652888910404	recA	-2.3627126	2.4944081951248094e-209	lon	-4.7492633	1.7106711946590871e-205	ilvI	-3.2673473	1.717065267125948e-65	truB	-1.397527	4.3845417824690095e-33	spuD	-0.7457326	1.113640758724582e-16	pstS	-4.5030084	3.3383498051717125e-145	mvfR	-4.044541	8.392135623186759e-165	sodM	1.0037938	0.01120602075487667	sigX	-2.3948865	9.210249714553833e-74	vfr	-0.90723336	5.848017788890537e-10	rpoN	-2.0237162	9.708210691720357e-28	pscC	-1.1639488	0.023505109337459706
