	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p
10	vfr	1.0604532	0.0	suhB	2.056879	0.0	vgrG	0.47927013	9.261914648259755e-32	pcrD	-9.201783	0.0	lasB	-0.025033606	0.013023421863389997	phzE1	0.92331713	0.0	rpoH	1.1600021	0.0	ccoN4	2.7153292	0.0	hcnC	2.1442068	0.0	pnp	1.1454363	0.0	mexF	-1.6357844	9.91601248938134e-37	pyrG	1.7706238	0.0	pelA	-2.1383965	1.5822167238022707e-46	napA	0.83616275	1.3051659272460588e-19	impC	0.07170082	0.44521809062005513	vfr	1.27749	5.7445182566029785e-295	phzE1	-0.44507107	1.1410389080144477e-24	rhlI	0.3749014	0.00015538155519163646	PA14_48930	-1.0038793	0.03092562691782227
11	clpX	0.8182472	0.0	dnaA	1.8948087	0.0	spuD	0.12642938	1.0331079354693007e-24	katA	-1.1944723	0.0	PA14_48930	-1.0704451	5.622078596139104e-25	arcA	1.6385962	0.0	dnr	3.5055718	0.0	fliC	2.0634935	0.0	rne	1.2714798	0.0	pilA	1.146411	0.0	vgrG	-1.0882821	1.1405468026846502e-38	fliA	2.4894922	0.0	lasA	-0.45362327	2.562301636881602e-53	rpoS	0.17375223	4.2055335752169445e-12	ampC	-0.74091655	0.16541016344872564	mvfR	2.4494445	5.2521212675480445e-286	gltB	-0.3490685	1.5607769795661405e-26	vgrG	0.9488016	0.0008472052633910148	rpoS	-0.19269396	0.0010058284824833604
12	truB	1.3298774	0.0	lon	2.318075	0.0	pelA	-0.041550975	0.5551984438210776	TriC	-1.8412362	0.0	fliC	-0.15502667	3.372045668126316e-27	wspR	1.8368175	0.0	htpX	1.9013215	0.0	vfr	1.4132426	0.0	phzM	2.7029064	0.0	sigX	1.11065	0.0	sodB	-0.32519382	7.608320477835463e-63	pilA	1.7243098	0.0	vgrG	-1.6986198	8.566924971002334e-78	vgrG	0.8169524	1.1777360934121939e-11	aceA	-0.06837023	0.09216912195190859	rpoD	1.2133613	2.8652971621893666e-274	katB	-1.5310196	5.404551175595361e-29	pstS	0.60513973	0.0008863721095940906	pvdF	-0.48749802	6.120637008458251e-05
13	pyrG	0.8128038	0.0	lysC	2.193794	0.0	ampC	-1.7677281	1.863730774619142e-26	phzE1	-0.81418383	0.0	ampC	-2.524132	3.797362956591899e-38	phzM	1.1895564	0.0	mexB	1.5777448	0.0	ptsP	1.987701	0.0	fliC	1.9415549	0.0	pcrD	6.7147417	0.0	rpoS	-0.31216016	3.616020079030731e-66	rpoD	1.7966516	0.0	rpoS	-0.3778868	2.0472313476342055e-82	hcnC	0.11033727	0.006266966132219358	algD	-0.44736838	0.06253852332545089	truB	1.6062549	1.6570653140126885e-273	lasR	-0.6579358	2.627009917484773e-30	wspR	0.60539836	0.0008863721095940906	arcA	-0.70384586	6.334000330614219e-06
14	rne	0.735384	0.0	clpX	1.1484793	0.0	lasI	-0.31520337	1.7344855875646125e-46	kgtP	-7.297493	0.0	lasR	-0.26484162	3.5274349426624397e-50	pvdF	1.1676098	0.0	fliA	1.5926852	0.0	sodB	1.061419	0.0	rhlA	1.5368516	0.0	rpoD	1.1556239	0.0	pstS	-1.0265621	2.5629909151783213e-77	clpX	1.3920344	0.0	mexF	-3.1237981	1.043904636850606e-133	spuD	0.07222075	0.04298255039286735	vgrG	-0.59194106	3.8189979752932153e-07	atpA	0.8281313	3.941688696122786e-265	napA	-1.3678983	7.189258432327155e-38	rpoS	0.1846053	0.0013070286512579655	napA	-1.0571183	9.66883220698456e-07
15	OxyR	1.4398062	0.0	pnp	1.1941966	0.0	pstS	-0.5204698	1.3442129019890655e-86	gpD	-5.494053	0.0	uspA	-0.27657035	1.0700455560315638e-71	lasR	0.7837548	4.504451736466627e-289	vfr	1.1185725	0.0	aceA	1.8934779	0.0	ccoN4	1.8453933	0.0	suhB	1.2959858	0.0	lasR	-0.6902581	7.977661734937444e-82	dnaA	2.1130292	0.0	phzE1	-0.72232884	2.5743430331306685e-142	lasR	0.035274636	0.4694939302055458	pelA	-1.035618	1.0449520101349622e-07	sucC	0.8298098	7.282069689918126e-264	htpX	-0.65712494	1.2421932938828401e-42	ftsH	0.26718295	0.0025671879978785357	uspM	-0.9914949	5.335058970901995e-07
16	sucC	0.6377378	0.0	truB	1.791855	0.0	PA14_48930	-1.7575696	2.723940049148524e-96	lasA	-1.0026288	0.0	algD	-1.6306536	1.1662183226140291e-86	fnr_2	1.5111074	1.3213659731725792e-269	ackA	3.6761441	0.0	rhlR	1.6313287	0.0	ptsP	1.32278	0.0	sodB	0.8615866	0.0	pelA	-2.6067243	3.494833728754262e-83	dnr	3.9696946	0.0	TriC	-1.6688782	1.5660624219474476e-157	ampC	0.21343166	0.6383246856816813	PA14_48930	-1.545912	4.1416638753912483e-10	rne	0.9197924	2.6295009239036543e-263	pqsH	-1.0828631	2.4515075428954375e-45	PA14_48930	1.1123145	0.026514777313856076	wspR	-0.9391386	1.454025582663076e-07
17	atpA	0.6127547	0.0	ptsP	1.6137866	0.0	algD	-2.0940716	1.4373416994033358e-135	napA	-2.6242445	0.0	vgrG	-1.4207778	8.714769414251825e-217	rne	0.36853594	1.2214384189005037e-258	OxyR	1.4459685	0.0	rhlI	1.5959058	0.0	pilA	0.8475634	0.0	rho	1.3349259	0.0	lasA	-0.6415916	3.628556866029972e-124	suhB	1.9043528	0.0	pstS	-1.7319362	5.888537409596824e-186	pelA	0.029710067	0.8875096082585092	spuD	-0.24492662	8.865485718497935e-12	OxyR	1.6339949	2.5456749772717957e-222	spuD	-0.651901	1.64107021327685e-53	rpoN	0.1639529	0.030135762905929852	lasR	-0.67913955	6.393861235640186e-10
18	cdrA	1.0831174	0.0	rho	1.4889606	0.0	pqsH	-0.6999023	7.323990798580833e-199	amrB	-8.808438	0.0	lasI	-0.99735975	0.0	ccoN4	0.6150759	1.1514058286986113e-181	sigX	0.83113503	0.0	rpoS	0.89448	0.0	uspA	1.1527276	0.0	lon	1.5014536	0.0	mvfR	-1.2143342	9.382761087375069e-127	amrB	6.072368	0.0	gpD	-3.1870902	9.393908206824112e-237	algD	-0.95365113	4.3631699993308844e-05	TriC	-0.8000819	2.0027356681107564e-24	pilA	0.9748207	1.5925992589276255e-216	anr	-1.0503268	3.9570303995425993e-59	dnaA	0.17997342	0.0633050336190998	mexF	-2.7629123	1.8451736996841276e-15
19	mvfR	1.8784494	0.0	rpoN	0.92889684	0.0	mexF	-2.1218185	8.727636390932999e-246	ahpF	-2.1283908	0.0	napA	-1.6350453	0.0	hcnC	0.48725554	6.724311339757079e-170	gshB	1.6124231	0.0	spuD	1.2595444	0.0	vfr	0.8584846	0.0	truB	1.3232448	0.0	gltB	-0.5325277	5.71918351099566e-138	ftsH	1.5692095	0.0	ahpF	-1.8941473	8.434048335291505e-252	mexF	-0.76484424	6.4426775289624505e-06	pstS	-0.8627392	7.114044502144212e-30	pqsH	1.9695305	9.552155620315649e-200	gpD	-2.4286842	7.45908269486507e-63	sigX	0.13572545	0.07801506927002701	exoY	-2.5638232	7.867040654101761e-16
