	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p
30	pqsH	1.0537938	0.0	vfr	0.41763592	0.0	mexB	-0.9561372	0.0	pqsH	-2.3063114	0.0	TriC	-2.194397	0.0	spuD	0.0339605	0.03262613807353669	suhB	0.8332892	0.0	uspA	1.242357	0.0	pqsH	1.1325824	5.216500981555957e-180	htpX	0.69715255	2.785452379160532e-131	htpX	-1.5203388	0.0	katB	3.2596607	0.0	ackA	-4.2241187	0.0	coxA	-1.2900647	2.5958260786072013e-44	katB	-2.8867579	2.713197776009557e-145	cdrA	1.0629078	2.661461219213646e-145	gshB	-1.6429977	5.166552655049786e-140	mexF	0.03346544	0.9404578928852678	ackA	-2.7261386	3.043179942501428e-31
31	rpsC	0.4011954	0.0	rpoH	0.35575446	0.0	htpX	-0.98487604	0.0	pscC	-10.774018	0.0	pqsH	-1.8390294	0.0	ampC	-0.014631806	0.9489763076000154	lasR	1.0057883	0.0	lon	1.3044468	0.0	lasR	0.714863	8.57279243523073e-156	anr	0.86454475	1.1084930149028842e-118	katB	-4.413566	0.0	htpX	1.180161	0.0	pcrD	-22.64729	0.0	mvfR	-0.94892883	6.282203205730387e-45	ahpF	-1.8897086	2.1863561604597958e-157	phzE1	0.96940523	4.488031246121149e-140	pstS	-2.085258	5.522329066707816e-142	dnr	0.0006336566	0.9975103626763451	katA	-1.6003315	8.463899287211774e-34
32	lasR	0.66378224	0.0	kgtP	2.5104342	3.2046310712310883e-298	impC	-2.3137906	0.0	aceA	-1.6513199	0.0	amrB	-5.3347845	0.0	rhlI	-0.00796752	0.6840642515193234	recA	0.8961996	0.0	fliA	0.9688506	0.0	pvdF	0.78718626	1.737643527563331e-149	relA	0.8270237	2.9402448769496265e-115	pcrD	-22.651386	0.0	truB	1.3008578	9.4275624313076e-310	spuD	-1.6207601	0.0	mexB	-0.5925751	3.494045422329637e-51	rhlR	-1.0724231	1.8646741936881907e-188	gshB	1.4206439	1.9533897383573236e-132	mvfR	-1.9089308	6.16930797220639e-143	ampC	-0.12449097	0.920891582798692	phzE1	-1.0698549	2.2989430167355637e-36
33	gshB	0.72177064	0.0	OxyR	0.55355954	5.275601516325352e-229	ackA	-3.2900465	0.0	coxA	-7.4652634	0.0	narG	-4.876788	0.0	dnaA	-0.017890459	0.29760227317860916	ccoN1	0.70533663	0.0	ccoN3	1.911808	0.0	fliA	0.57302123	7.750432610989987e-137	fadB	0.6993087	1.2024299762175775e-113	mexB	-1.7213093	0.0	lon	1.3312207	1.4047126769067426e-308	amrB	-5.462745	0.0	arcA	-1.0051236	4.360034722347602e-53	aprA	-0.9810875	3.709545678354446e-201	TriC	1.9963223	1.2126605333684661e-124	clpX	-0.8434907	2.1590429020986333e-148	mvfR	-0.019388447	0.920891582798692	aceA	-1.3361243	3.930197123470004e-37
34	ahpF	0.88513243	0.0	ahpF	0.7971735	1.5842925710501672e-218	mvfR	-1.7851838	0.0	rpoS	-1.004343	0.0	exoY	-7.8743873	0.0	PA14_48930	-0.21694237	0.051536020366775785	uspM	1.5753675	0.0	katA	1.3577274	0.0	cysA	1.4157584	4.8365271514142183e-132	OxyR	0.77798086	3.452013604602953e-112	wspR	-2.9885247	0.0	fadB	1.2778431	9.51795826579593e-308	pqsH	-2.9551637	0.0	anr	-0.91115826	7.044626935651425e-63	exoY	-3.5950131	3.3280744753655612e-211	fliC	0.8915269	2.6978228490515124e-121	lysC	-1.3525656	7.830762807406785e-150	ccoN4	-0.02353249	0.8744066900652255	vgrG	-2.9548957	2.1485003278971755e-37
35	fliC	0.4007677	0.0	mexB	0.37704092	2.3279773880665953e-183	coxA	-2.947689	0.0	cysA	-5.1148047	0.0	rbsA	-5.5412726	0.0	gpD	-0.3591473	1.2410272058604563e-08	ccoN4	0.8909846	0.0	dnaA	0.85004467	0.0	dnaA	0.4486284	3.872322775774688e-105	exoT	1.2923137	4.949245682536157e-105	impC	-3.4732301	0.0	gltB	0.6749087	1.2184239714996704e-299	arcA	-3.0175095	0.0	ftsH	-0.6439259	5.2144620481412025e-73	fnr_2	-2.8532166	1.5653244047382718e-231	lysC	1.0092226	4.25411062098635e-119	sodB	-0.88040996	1.3037834988225844e-160	ptsP	-0.043812923	0.7469116467374193	spuD	-1.1411712	8.640814121901552e-40
36	spuD	0.34556395	8.840177275954654e-268	spuD	0.30374026	3.960929513568721e-145	fadB	-1.1810433	0.0	spuD	-1.4456868	0.0	wspR	-2.3964126	0.0	gshB	-0.20630874	1.0764774999506652e-15	ilvI	0.8809568	0.0	ftsH	0.78112596	0.0	ackA	1.4393214	6.237786791899468e-99	aceA	0.6624975	7.271339773209102e-105	amrB	-5.97572	0.0	rho	1.1778181	9.63212868333161e-293	htpX	-1.8458786	0.0	relA	-0.9854725	3.5963441059547455e-79	cysA	-2.7038753	2.750550235600252e-234	phzM	1.2481041	1.5669121301240805e-117	wspR	-2.1332858	1.3074871099898198e-161	pscC	-0.12602758	0.7272971787806887	dnr	-2.4294398	6.224096925479714e-40
37	pelA	2.2376378	1.0738047438384952e-264	anr	0.43357158	4.97297423060274e-115	exoY	-5.4301524	0.0	mvfR	-2.9313297	0.0	fliA	-1.2841295	0.0	pilA	-0.11080521	3.5540663873486817e-16	ahpF	1.3948237	0.0	arcA	1.5341343	0.0	gshB	0.67201966	2.152148999764644e-93	ftsH	0.514365	1.1929358515648803e-97	spuD	-1.634357	0.0	recA	1.119754	4.849022354631342e-266	mexB	-1.8981147	0.0	htpX	-0.7505758	5.529308018807392e-82	arcA	-2.0714746	6.503600052191398e-241	recA	0.98417294	6.184268764929294e-116	ftsH	-1.1647124	1.225951819536747e-164	ahpF	-0.07414268	0.7234680599458436	katB	-3.4896145	3.7590583146920705e-40
38	fliA	0.4021218	1.8442170794066043e-249	cysA	0.688859	9.367438534606549e-96	narG	-5.5919275	0.0	arcA	-3.0332813	0.0	relA	-1.7166879	0.0	fliC	-0.1716713	9.895369802847276e-26	relA	1.0086857	0.0	rpoH	0.56611055	0.0	fnr_2	1.0682275	7.098053323924528e-87	fliA	0.5684762	1.1547174527852338e-91	pyrG	-1.305683	0.0	fnr_2	2.4288728	1.5163812011986785e-259	anr	-2.5606983	0.0	fnr_2	-1.6768875	4.4037960957282975e-83	fadB	-1.4369813	1.6216098186626927e-240	fliA	0.9495952	7.458957527113729e-114	ahpF	-2.1349378	9.20963040450383e-182	gshB	-0.07706114	0.6377301404244047	OxyR	-1.6062448	9.86687276037777e-42
39	pstS	0.7520357	1.4225421356671614e-247	mexF	1.3031989	4.100577077322006e-94	amrB	-8.510554	0.0	htpX	-1.7519294	0.0	dnaA	-1.3370296	0.0	amrB	-0.6801511	1.7984108456421054e-26	rho	0.7902041	0.0	gshB	1.1388285	0.0	lasI	0.54268974	1.684307730917274e-58	spuD	0.44701245	5.187558981655287e-81	rhlI	-1.9626055	0.0	exoY	3.2128468	6.057661623845177e-206	impC	-3.8875544	0.0	rhlR	-0.6932299	6.578066322275312e-85	rpoH	-0.887475	4.477923935080274e-241	anr	1.2187529	5.081589929218125e-111	lasA	-1.2652962	3.5241135651503936e-183	napA	-0.124260895	0.6275527009259598	cdrA	-1.3774602	6.811871576144535e-42
40	rpoD	0.2652789	1.0487759738284769e-168	pstS	0.5264325	4.132142851532982e-92	rbsA	-5.7220707	0.0	impC	-5.4641767	0.0	gshB	-2.0591385	0.0	fliA	-0.20062336	7.715699075282995e-28	phzM	0.96680844	0.0	lasI	1.2755134	0.0	exoY	1.3137224	3.335889991782704e-57	fliC	0.4553738	1.8598860295250642e-74	narG	-5.870662	0.0	rpoH	0.6272232	7.004286605204637e-195	hcnC	-2.0073512	0.0	aceA	-0.8290801	1.1995126076901638e-96	fliA	-1.3172106	1.6492098692979063e-247	pyrG	0.62088424	1.2101195357537013e-100	arcA	-2.143404	2.52133950393579e-184	impC	-0.26999643	0.22748545260246503	fliA	-1.2989432	4.26284488889092e-42
41	cysA	0.6508549	8.694901703704541e-112	fliA	0.27906623	1.1119780274911126e-88	aprA	-0.9868097	0.0	exoT	-5.1227307	0.0	hcnC	-1.437598	0.0	ackA	-0.6883152	9.833203556163226e-36	mvfR	1.2267655	1.1471357854270272e-294	pyrG	0.49176458	0.0	relA	0.4362532	2.079020955703377e-49	lasI	0.9029862	3.5108754785729106e-67	rbsA	-5.824725	0.0	lasI	1.4011463	2.056347051078104e-161	exoY	-6.5959435	0.0	ahpF	-1.5069922	3.012676049611791e-102	rbsA	-3.8817716	9.267899916308227e-262	relA	0.98272085	1.194636962589305e-68	uspA	-1.4482565	3.971883678488454e-185	spuD	-0.11874927	0.1610079897476968	gshB	-1.9741485	1.8321099512147146e-44
42	vgrG	0.6507045	3.6092811481471125e-82	relA	0.3403575	7.864098995182146e-79	rpoH	-0.81181353	0.0	uspM	-5.069782	0.0	pscC	-9.55619	0.0	napA	-0.6758544	8.856160693508675e-59	ccoN2	0.9160789	1.4559375213088192e-272	wspR	1.329382	1.2684061635125358e-264	ccoN2	0.4323062	1.813893906735234e-44	rhlI	0.46119887	9.404420760412974e-55	fliA	-2.073422	0.0	vfr	0.6426761	1.5011950904882765e-160	relA	-2.759653	0.0	OxyR	-1.120234	8.682545679717635e-109	anr	-1.8705972	7.434911076725577e-261	fadB	0.78904897	1.514309342459658e-67	uspM	-2.7915719	5.2055941527982664e-188	pqsH	-0.23794682	0.12941265560140497	pstS	-2.491503	6.235209961051239e-50
43	hcnC	0.21017167	2.5585284284919217e-78	ftsH	0.1867195	4.2380677822141007e-54	ftsH	-1.0850112	0.0	dnr	-5.434395	0.0	phzM	-1.8656305	0.0	relA	-0.44521743	2.1242314327091573e-77	hcnC	0.6374929	3.885858093209251e-250	pqsH	1.1276678	1.2399404212054164e-240	lon	0.33827597	9.179254759195495e-39	cysA	0.9924945	2.282647807068755e-49	OxyR	-2.572906	0.0	sigX	0.5756843	2.4732762935456316e-146	coxA	-4.8553395	0.0	sigX	-0.6791043	2.1196026188328762e-112	gltB	-1.11921	2.2825463214750234e-275	htpX	0.7056769	1.5185367799846018e-61	dnr	-2.7795513	3.179880240638446e-198	sodB	-0.10049195	0.11143839046060541	rpoH	-1.0379775	2.0348783648933914e-50
44	phzE1	0.19422942	5.909437672880207e-75	gshB	0.0048776	0.8015094106152815	rhlI	-1.2713877	0.0	wspR	-3.885971	0.0	cysA	-4.017134	0.0	ccoN3	-0.6186785	4.4434839432446766e-79	rhlI	0.62945867	2.520351894945375e-212	recA	0.60364145	3.1163564795183573e-211	atpA	0.1636407	1.9634000895468588e-38	pvdF	0.5408119	1.8511353353926816e-47	aprA	-1.7314157	0.0	mexB	0.70704216	7.781572989030444e-135	OxyR	-2.7246332	0.0	phzM	-1.1728077	3.0947067134854045e-115	htpX	-1.4008584	4.500102564804278e-287	rpsC	0.40773073	5.757769186663595e-56	fliA	-1.5138353	1.8602523262096446e-214	katB	-0.5125963	0.10469153790344779	fliC	-1.2203785	3.362830082739764e-53
45	PA14_48930	1.1304717	6.624261907663683e-59	ampC	-0.063243076	0.7565997369229776	aceA	-1.3225856	0.0	anr	-2.6306403	0.0	dnr	-3.6496022	0.0	exoY	-1.3092319	1.3315852801179171e-87	pstS	1.0303506	3.918167271668017e-164	impC	1.5087669	3.291688687073817e-202	rhlI	0.2900271	6.978013411563857e-34	ahpF	0.70172817	1.6586348049301981e-46	arcA	-3.276758	0.0	OxyR	0.8795015	3.3588263073537187e-116	rpoH	-1.5345662	0.0	recA	-0.8971459	1.2259705468821801e-115	dnr	-3.0821216	0.0	ahpF	0.9881749	1.392254355502701e-43	OxyR	-1.8199235	4.299806216302568e-217	amrB	-0.6049128	0.0960122416665395	relA	-1.8474153	3.315488469436711e-54
46	fadB	0.19827433	1.4627646361467494e-52	fnr_2	-0.037252873	0.25497113186380643	cysA	-3.59016	0.0	fnr_2	-8.159102	0.0	exoT	-3.3461242	0.0	aceA	-0.43421093	5.434301002753896e-106	narG	1.7966338	9.957549799653962e-150	anr	0.8014156	9.007056214347056e-190	gpD	0.91282856	1.1829538313130592e-31	wspR	0.73281854	2.65713416058957e-45	cysA	-4.4708524	0.0	anr	0.9343465	3.884609751116594e-110	sigX	-1.6570594	0.0	exoY	-3.0122662	4.50916118236541e-127	ftsH	-1.3410369	0.0	fnr_2	1.2569131	6.59809705724187e-42	rpoH	-1.0637639	1.0014313693906087e-220	rho	-0.17372869	0.0960122416665395	TriC	-2.6840215	5.063187744648797e-55
47	fnr_2	0.32271716	5.341191954426619e-35	algD	-0.5609382	7.930607972729436e-12	anr	-1.8643707	0.0	mexB	-1.8841618	0.0	coxA	-5.0291557	0.0	mvfR	-0.6739844	3.5393596474532456e-107	fnr_2	1.0834048	2.9345755750999554e-139	rpoN	0.39291096	6.521373148053977e-170	ccoN3	0.46581072	3.375912898991781e-29	pstS	0.65257424	2.034130497551356e-36	rhlR	-1.9888271	0.0	algD	3.1095455	7.12387958907431e-82	gshB	-3.0537753	0.0	fliA	-1.0272847	2.445222949186541e-142	clpX	-1.0431242	0.0	wspR	0.9492453	2.4920188469229153e-34	phzM	-1.9182913	2.6381933834064254e-233	nirS	-0.24675567	0.04118257079126144	ccoN4	-1.7523128	3.3686986491818104e-58
48	lysC	0.12837648	3.2674291389310504e-25	uspM	-0.22326477	3.067448723469413e-13	pscC	-8.891087	0.0	gshB	-2.9654205	0.0	impC	-3.9840574	0.0	TriC	-0.8248533	2.721778563352632e-110	cysA	1.2628373	1.3309661365102083e-138	dnr	1.1709086	1.9483506810837196e-150	napA	0.478516	7.939493419968916e-20	mvfR	0.5445049	1.594973866741644e-31	hcnC	-2.2260482	0.0	wspR	0.95967436	9.022808378092113e-68	aprA	-1.8629811	0.0	dnaA	-0.9667427	5.626748955031368e-147	recA	-1.5203027	0.0	gpD	1.7089617	4.940566141416838e-33	rho	-1.6736397	9.785267767875535e-238	htpX	-0.23297031	0.015590916082250907	hcnC	-1.5125746	8.237955772640907e-60
49	htpX	0.114308834	1.459297531751364e-21	PA14_48930	-0.58788466	3.0235540738415717e-13	sigX	-0.98675525	0.0	ccoN3	-6.4561524	0.0	aceA	-1.7743968	0.0	pstS	-0.8274598	2.9667700194150096e-121	mexF	2.280531	1.046586349428818e-130	amrB	1.9425141	2.966491786064787e-143	ilvI	0.16522029	4.812872225748283e-10	lasR	0.32167116	1.62487676658709e-23	anr	-2.9100356	0.0	cysA	1.1943542	3.551854411648139e-63	recA	-2.1868064	0.0	ilvI	-1.1958033	1.1610199557517817e-149	gshB	-2.2082975	0.0	rhlI	0.5026603	2.0915020653865667e-32	mexB	-1.5680158	5.674958526620093e-248	uspM	-0.5423939	0.008727482500132326	rhlI	-1.5503718	7.880278827681482e-60
50	mexF	0.3088806	3.0868243724713097e-09	vgrG	-0.31751734	1.6716110048975836e-14	arcA	-2.401647	0.0	hcnC	-2.1530278	0.0	ahpF	-3.07874	0.0	vfr	-0.34442464	1.9383307707543913e-122	pqsH	0.76293975	2.9588624427527427e-129	phzM	0.64240485	2.050255779438076e-129	amrB	0.351845	3.456330283978513e-05	mexF	1.2386657	4.9822056145141386e-23	ftsH	-1.9779814	0.0	kgtP	2.226259	8.396544678277867e-62	ftsH	-2.0426862	0.0	aprA	-0.83995855	4.382436803596606e-150	mexB	-1.5669144	0.0	cysA	1.1135362	2.818746182874507e-29	rhlI	-1.6802449	4.767597354196712e-258	cysA	-0.5715553	0.0078052294108345	dnaA	-1.5762104	1.806966876963164e-65
51	ampC	0.5874151	3.298944357169534e-05	pelA	-0.7131718	1.147320726102779e-23	fnr_2	-3.6957712	0.0	phzM	-2.9036596	0.0	anr	-2.3132532	0.0	katB	-1.3472021	6.100405203751197e-129	TriC	0.93726283	2.368046427068536e-120	ackA	1.4557354	9.880892029134245e-129	clpX	0.028651815	0.051310172212060065	gshB	0.37675232	3.5040958502995767e-22	coxA	-5.046298	0.0	pscC	1.5174469	2.1035374867352713e-52	narG	-7.161874	0.0	rpoH	-0.7215414	1.2317882058813335e-151	wspR	-2.8082628	0.0	napA	0.9955766	5.300169639664952e-26	dnaA	-1.5559573	1.6000520075165537e-264	fliC	-0.2547924	0.004374449622243549	rbsA	-3.9266555	3.269753642700074e-73
52	napA	-0.043797895	0.10180384468845993	dnr	-0.32219908	8.254196718105096e-27	phzM	-1.8613818	0.0	OxyR	-2.8199186	0.0	pqsC	-1.7251779	0.0	mexF	-2.080636	1.3002914145236399e-146	fadB	0.47002065	9.328180728190802e-103	relA	0.5681082	5.48876080761645e-105	mvfR	0.06043835	0.1186911273263506	TriC	0.52524924	4.7628470770851203e-20	phzM	-2.8046365	0.0	relA	0.5765754	6.592277328589924e-47	exoT	-4.361284	0.0	rhlI	-1.0775865	5.4695418329505296e-152	dnaA	-1.638184	0.0	PA14_48930	1.9653406	2.577607767657538e-21	suhB	-1.5808614	4.029178001773552e-270	exoT	-0.6274034	0.0038312626697841103	exoT	-2.902831	7.102033512496175e-74
53	gpD	-0.11461839	0.005517002449347777	arcA	-0.32058245	7.679754651307116e-38	clpX	-0.9905646	0.0	ftsH	-1.9383575	0.0	rhlI	-1.7701524	0.0	lasI	-0.68793285	1.2580572772961901e-153	napA	0.8445214	1.0972884870580132e-79	OxyR	0.5122211	3.161108083566421e-98	lysC	0.04310974	0.12732722379820585	kgtP	1.068088	2.5361875687871587e-17	sigX	-1.6751062	0.0	spuD	0.291292	4.054627830702457e-30	phzM	-2.9230611	0.0	gshB	-1.4665532	4.6708673404233045e-153	hcnC	-1.8176256	0.0	lon	0.4201468	2.0939344253198516e-20	rpoS	-1.1325935	6.696837060579842e-277	lasI	-0.4781369	0.0033259565086533713	htpX	-1.7396232	7.338121030456656e-74
54	algD	-0.5030942	5.859558544444985e-14	ccoN3	-0.36369318	5.785384756404629e-44	pyrG	-1.0571005	0.0	rpoH	-1.5369865	0.0	spuD	-1.618326	0.0	pelA	-2.9178095	3.46057408843668e-198	lysC	0.38112915	5.701168784394471e-79	norB	0.49967927	8.454545311477869e-94	ampC	0.35737517	0.17939938655920645	fnr_2	0.35074854	3.3000936940544344e-08	rpoH	-1.609425	0.0	pstS	0.6448405	2.775476879717407e-29	uspM	-4.5697846	0.0	rbsA	-2.9097567	5.238651436912741e-156	exoT	-3.302641	0.0	dnaA	0.31139877	4.3119613975079014e-17	rhlR	-1.6157683	8.488611698210579e-294	anr	-0.4009783	0.001715882369644067	fadB	-1.838175	1.4034490154941308e-74
55	pqsC	-0.09730549	5.2360286006943813e-17	ackA	-0.7167591	1.1014580459191994e-67	rhlA	-1.4357369	0.0	fliA	-2.473976	0.0	ccoN3	-4.3093925	0.0	rpoH	-0.3965226	1.3275385885294054e-219	pchF	0.47489202	7.138246335611209e-79	exoT	0.7726358	1.897813886576814e-74	algD	0.16740216	0.19516933622007665	pqsH	0.21489394	2.36909410078071e-06	exoY	-23.6532	0.0	mexF	1.4571149	2.088847578167855e-25	rbsA	-8.1160965	0.0	exoT	-2.0329535	4.245710601650733e-157	rhlI	-1.8369368	0.0	impC	0.78296363	1.5187905438268206e-16	amrB	-4.5879493	0.0	norB	-0.45595214	0.001149498959197196	anr	-2.2656188	3.2683582281021333e-75
56	katB	-0.7433074	5.687694366688451e-83	exoT	-0.5698736	5.756734477673173e-87	relA	-2.2758005	0.0	sigX	-1.7749808	0.0	ccoN4	-2.2023902	0.0	nirS	-0.6249711	9.394690253074475e-259	cdrA	0.3290443	1.748094707053593e-63	phzE1	0.32364234	2.692738175601475e-64	PA14_48930	0.116771206	0.42943839248281473	pelA	0.47101173	0.000618390988721361	exoT	-4.2229066	0.0	pcrD	1.4748745	1.0864742714996614e-19	ilvI	-2.7849064	0.0	dnr	-2.244049	5.948408779722045e-168	fliC	-1.7738726	0.0	narG	1.0355244	1.1653130164832488e-12	sigX	-1.3338369	7.39167262315478e-297	lasR	-0.35559544	0.0010103334886338163	narG	-3.9725714	3.612572198548952e-77
57	dnaA	-0.2068587	2.1095098108272722e-83	TriC	-0.5696677	5.069960581027431e-91	wspR	-3.4926841	0.0	dnaA	-2.440835	0.0	fnr_2	-6.2841053	0.0	nosZ	-0.88728523	4.162430072580791e-277	PA14_48930	1.6736419	1.2370187207434777e-54	exoY	1.1707909	1.0037509437075706e-55	pscC	-0.003384903	0.9616479296167924	PA14_48930	0.60202885	0.0018981061553991583	clpX	-1.6488531	0.0	arcA	0.49896738	7.047036314304379e-19	fadB	-2.7064238	0.0	wspR	-1.9445863	2.7772699494498015e-173	sigX	-1.4642141	0.0	pelA	1.3774456	4.488572153203149e-12	relA	-2.2732482	1.767183852293935e-299	uspA	-0.33311045	0.0008472052633910148	coxA	-3.731573	2.0054381570636115e-77
58	ackA	-1.1489922	2.904229573108123e-256	gpD	-1.0981884	1.391564036472616e-121	gshB	-2.482244	0.0	rhlR	-2.455528	0.0	ccoN2	-2.8149693	0.0	cysA	-1.5132124	8.564727781480033e-281	pcrD	1.1185445	7.013744563379113e-33	ccoN1	0.26821125	1.5277669357107855e-54	vgrG	-0.0072862455	0.9234122844083478	ccoN3	0.161683	0.0031703342760701046	dnaA	-2.2911677	0.0	gpD	0.72672576	1.4274168603634333e-12	wspR	-4.144413	0.0	ccoN1	-1.0102677	1.2608803340863284e-180	phzM	-2.461966	0.0	pqsC	0.26861346	4.654405683828195e-12	rpoD	-1.5561988	2.2613644591821485e-302	kgtP	-1.3552738	0.00045538223146944344	ftsH	-1.6970054	2.9804027459123478e-81
59	rhlA	-0.3500338	7.666466621085092e-281	gltB	-0.2045691	5.60700910212659e-146	exoT	-4.6041574	0.0	aprA	-2.2006896	0.0	norB	-2.7447343	0.0	rbsA	-2.2126358	3.468489920825763e-295	rpsC	0.10641748	2.0918056737848772e-19	katB	0.91729736	3.4411475691155267e-48	htpX	-0.030654091	0.17760253464798217	rbsA	0.12904376	0.16143073032299646	rhlA	-2.1814768	0.0	lasR	0.10824463	0.0037841534691923765	vfr	-2.0899887	0.0	amrB	-3.3178177	7.163311158681925e-193	uspM	-3.8096163	0.0	uspA	0.31737503	1.2383315364688514e-11	fliC	-1.6348621	1.9367359504707923e-306	vfr	-0.27803126	0.0004412214981102567	vfr	-1.590621	7.477007861008728e-82
60	lon	-0.47863004	7.531133354456069e-284	katB	-1.3656495	2.505737567635491e-196	recA	-1.7147243	0.0	rhlI	-2.7825685	0.0	katA	-3.2362878	0.0	dnr	-1.5052719	0.0	pelA	0.88987714	2.56127986821003e-19	cysA	0.61904556	4.40374534733856e-39	lasB	-0.030150978	0.05327930827302401	vgrG	0.10845063	0.18189366912917992	pscC	-8.356324	0.0	ampC	0.64807826	0.04632535471722509	rhlR	-2.3707366	0.0	rhlA	-1.0533674	1.7415786332611482e-209	kgtP	-6.598373	0.0	kgtP	1.2575427	2.35345308647011e-09	exoY	-4.813951	0.0	exoY	-1.1479077	0.00040126717689789636	ccoN2	-2.4520993	3.848939436676074e-82
61	uspA	-0.4629076	4.6593273299782036e-291	mvfR	-0.93585795	0.0	uspM	-5.598718	0.0	ccoN2	-4.728354	0.0	OxyR	-2.7662287	0.0	ahpF	-1.4037793	0.0	gpD	0.49478337	5.439878015387934e-15	coxA	0.638737	9.086952786753729e-33	rpoD	-0.03667836	0.05255742769553361	ampC	0.17184687	0.5934684013507298	dnr	-5.014321	0.0	TriC	0.12205636	0.05768171749658712	rhlI	-2.627386	0.0	pyrG	-0.88000697	1.0248320626324269e-216	relA	-2.6223183	0.0	mexF	1.0046903	1.2043711768100565e-08	ilvI	-2.0691304	0.0	pyrG	-0.28262824	6.206989459902556e-05	impC	-3.3311305	1.1804620167982104e-82
62	amrB	-1.6530386	8.3757842710428e-310	amrB	-2.2370698	0.0	ccoN1	-1.6357486	0.0	ccoN1	-2.3980343	0.0	phzE1	-1.9555694	0.0	anr	-1.0935522	0.0	phzE1	0.11074294	5.903245500685035e-10	fnr_2	0.5820092	9.746502121617262e-33	rbsA	-0.22626133	0.007145216638857745	algD	-0.039904717	0.7933704904657224	uspM	-4.9196973	0.0	ackA	0.12900843	0.17061259578951107	clpX	-1.8419836	0.0	narG	-3.829419	1.5686325522637211e-242	narG	-5.287313	0.0	ampC	2.8721814	8.106915325826819e-08	truB	-2.1435282	0.0	rpoD	-0.33829102	5.6408673024398175e-05	pqsC	-1.838296	3.004375720463937e-82
63	kgtP	-2.0855134	0.0	pcrD	-3.7223735	0.0	dnr	-6.468061	0.0	nosZ	-5.826614	0.0	rpoH	-1.5506159	0.0	coxA	-2.0013447	0.0	ampC	1.3682616	4.9631727188027715e-09	vgrG	0.66432124	4.367742193470526e-29	pstS	-0.1325951	0.002630662727527057	ackA	-0.2962031	0.00019847695837207392	gshB	-3.5897007	0.0	vgrG	0.07980876	0.3894646411075231	pqsC	-2.6331549	0.0	pvdF	-1.8211999	6.941344932636988e-248	rhlA	-1.8720566	0.0	katB	0.6179265	4.561271419433463e-06	ptsP	-2.0835598	0.0	rne	-0.29877415	2.2671377546190363e-05	rho	-2.0867949	5.849835743965637e-85
64	rbsA	-1.7610123	0.0	rhlI	-0.63063407	0.0	vfr	-1.4935066	0.0	ilvI	-3.319325	0.0	pilA	-1.6957345	0.0	ilvI	-1.0131228	0.0	spuD	0.09343631	1.7399491609367516e-08	pscC	0.69384766	1.4927074713381582e-28	katB	-0.29701066	2.264571844139823e-05	dnr	-0.23694488	8.16406261887608e-05	suhB	-2.647345	0.0	PA14_48930	-0.26447958	0.1274563666689675	pscC	-8.165472	0.0	rho	-1.4952766	6.815342001444225e-249	pcrD	-22.636383	0.0	vgrG	0.44946426	0.00012578742218550545	ccoN1	-1.7250223	0.0	coxA	-1.0006807	1.5426301531625834e-05	pilA	-1.4893678	2.788358263660053e-85
65	narG	-2.2472513	0.0	pqsH	-1.0222696	0.0	ccoN3	-6.947144	0.0	suhB	-2.6987405	0.0	nosZ	-3.8069806	0.0	pcrD	-5.12845	0.0	sodB	0.02483347	0.026700966874410616	gltB	0.11575584	2.2513790495832517e-24	dnr	-0.33680108	2.6347127849937324e-11	gpD	-0.37172392	7.015231869051448e-05	vfr	-2.2594538	0.0	pelA	-0.37143686	0.016693096950220913	fnr_2	-5.6363983	0.0	katB	-3.625709	4.240869630971465e-269	OxyR	-2.6195328	0.0	dnr	0.29158634	0.0017108286615770915	aprA	-1.6849347	0.0	gltB	-0.29488376	7.42209372297898e-06	norB	-2.4819157	9.864424297422888e-89
66	wspR	-1.120424	0.0	rbsA	-2.2785418	0.0	fliA	-2.0324724	0.0	relA	-4.1658373	0.0	rne	-1.5649903	0.0	OxyR	-1.145968	0.0	pqsC	0.04087822	0.03937632778870992	mexB	0.14606337	2.4096577488266655e-15	mexF	-0.7460968	1.8906684028940094e-13	ccoN2	-0.17027526	3.447214002921079e-05	lysC	-3.1274676	0.0	katA	-0.12716478	0.0042217052805197134	dnr	-5.5890102	0.0	vfr	-1.1226134	8.078794753907367e-267	vfr	-1.9574809	0.0	sodB	0.056946877	0.017502653863166347	exoT	-3.5488393	0.0	suhB	-0.4353625	5.06407298055711e-06	mexB	-1.8546467	8.392902927604681e-89
